matricula,data_evento,tipo_desligamento,motivo_desligamento,id_area,criticidade_area,grade,salario,meses_de_casa,aviso_previo,ferias_proporcionais,decimo_terceiro_prop,multa_fgts,custo_rescisao,multiplo_reposicao,custo_reposicao,custo_total_desligamento
100567,2021-07-01,Involuntário,Dispensa sem justa causa - desempenho,13,Média,7,15763.43,210.97,15763.43,12212.11,9195.33,106420.76,156898.81,4.0,63053.72,219952.53
100688,2021-07-01,Voluntário,Pedido de demissão - motivos pessoais,15,Média,1,2461.68,6.96,2461.68,1904.94,1435.98,0.0,7879.92,4.0,9846.72,17726.64
100931,2021-07-01,Voluntário,Pedido de demissão - proposta externa,1,Alta,3,6233.37,36.99,6233.37,686.23,3636.13,0.0,14334.68,6.0,37400.22,51734.9
101013,2021-07-01,Voluntário,Pedido de demissão - proposta externa,6,Média,5,11324.72,65.97,11324.72,7506.82,6606.09,0.0,34544.3,4.0,45298.88,79843.18
101069,2021-07-01,Voluntário,Pedido de demissão - remuneração,8,Alta,2,5039.97,10.97,5039.97,6144.51,2939.98,0.0,19181.02,6.0,30239.82,49420.84
101129,2021-07-01,Involuntário,Dispensa por justa causa,2,Média,3,5668.46,103.94,5668.46,5002.22,3306.6,18854.15,37835.29,4.0,22673.84,60509.13
101152,2021-07-01,Involuntário,Dispensa sem justa causa - reestruturação,5,Baixa,2,2754.45,36.01,2754.45,1.61,1606.76,3173.59,9098.3,2.5,6886.12,15984.43
101277,2021-07-01,Involuntário,Dispensa por justa causa,1,Alta,1,2957.67,36.01,2957.67,1.73,1725.31,3407.73,9769.56,6.0,17746.02,27515.58
101314,2021-07-01,Voluntário,Pedido de demissão - proposta externa,4,Média,5,13413.95,28.02,13413.95,5995.05,7824.8,0.0,36983.51,4.0,53655.8,90639.31
101344,2021-07-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,2,Média,2,3069.9,40.93,3069.9,1682.64,1790.78,0.0,8885.82,4.0,12279.6,21165.42
101375,2021-07-01,Voluntário,Pedido de demissão - proposta externa,5,Baixa,3,4594.08,6.96,4594.08,3555.06,2679.88,0.0,14705.81,2.5,11485.2,26191.01
101496,2021-07-01,Voluntário,Pedido de demissão - remuneração,5,Baixa,1,2416.36,2.99,2416.36,802.63,1409.54,0.0,6285.55,2.5,6040.9,12326.45
101545,2021-07-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,5,Baixa,3,5758.54,0.99,5758.54,630.59,3359.15,0.0,13238.16,2.5,14396.35,27634.51
100073,2021-08-01,Involuntário,Dispensa sem justa causa - desempenho,2,Média,4,9021.0,40.01,9021.0,4022.5,6014.0,11550.67,37430.76,4.0,36084.0,73514.76
100195,2021-08-01,Involuntário,Dispensa sem justa causa - desempenho,5,Baixa,4,9172.4,11.99,9172.4,12220.49,6114.93,3519.5,40875.13,2.5,22931.0,63806.13
100223,2021-08-01,Voluntário,Pedido de demissão - remuneração,2,Média,3,6062.67,27.04,6062.67,2045.68,4041.78,0.0,16499.87,4.0,24250.68,40750.55
100282,2021-08-01,Voluntário,Pedido de demissão - remuneração,5,Baixa,1,2123.2,13.99,2123.2,470.58,1415.47,0.0,5444.56,2.5,5308.0,10752.56
100336,2021-08-01,Voluntário,Pedido de demissão - insatisfação com liderança,7,Alta,2,6600.41,29.04,6600.41,3696.77,4400.27,0.0,19959.14,6.0,39602.46,59561.6
100422,2021-08-01,Involuntário,Dispensa por justa causa,6,Média,3,6467.2,29.96,6467.2,4283.14,4311.47,6200.35,26654.29,4.0,25868.8,52523.09
100434,2021-08-01,Voluntário,Pedido de demissão - proposta externa,5,Baixa,3,4429.39,11.99,4429.39,5901.33,2952.93,0.0,18039.19,2.5,11073.48,29112.66
100470,2021-08-01,Voluntário,Pedido de demissão - proposta externa,4,Média,4,5571.45,74.01,5571.45,1247.05,3714.3,0.0,14303.54,4.0,22285.8,36589.34
100716,2021-08-01,Voluntário,Pedido de demissão - proposta externa,6,Média,1,2195.47,17.02,2195.47,1223.87,1463.65,0.0,6631.1,4.0,8781.88,15412.98
100826,2021-08-01,Involuntário,Dispensa sem justa causa - reestruturação,5,Baixa,4,5684.92,138.96,5684.92,4397.53,3789.95,25279.59,44118.31,2.5,14212.3,58330.61
100914,2021-08-01,Involuntário,Dispensa sem justa causa - desempenho,13,Média,3,5583.71,53.94,5583.71,3686.6,3722.47,9638.32,27282.52,4.0,22334.84,49617.36
101018,2021-08-01,Involuntário,Dispensa por justa causa,2,Média,4,12761.25,82.98,12761.25,15572.86,8507.5,33886.9,83917.81,4.0,51045.0,134962.81
101097,2021-08-01,Voluntário,Pedido de demissão - insatisfação com liderança,2,Média,2,4811.51,43.99,4811.51,4270.58,3207.67,0.0,16689.49,4.0,19246.04,35935.53
101100,2021-08-01,Voluntário,Pedido de demissão - proposta externa,8,Alta,3,9066.23,15.01,9066.23,3035.31,6044.15,0.0,24641.86,6.0,54397.38,79039.24
101114,2021-08-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,4,Média,7,14577.15,151.97,14577.15,12910.64,9718.1,0.0,50525.6,4.0,58308.6,108834.2
101132,2021-08-01,Voluntário,Pedido de demissão - motivos pessoais,4,Média,4,10680.56,53.94,10680.56,7051.76,7120.37,0.0,33749.96,4.0,42722.24,76472.2
101160,2021-08-01,Voluntário,Pedido de demissão - remuneração,12,Média,4,11215.81,29.04,11215.81,6281.77,7477.21,0.0,33915.76,4.0,44863.24,78779.0
101224,2021-08-01,Voluntário,Pedido de demissão - insatisfação com liderança,6,Média,2,4067.65,18.99,4067.65,3158.38,2711.77,0.0,13495.53,4.0,16270.6,29766.13
101350,2021-08-01,Involuntário,Dispensa sem justa causa - desempenho,4,Média,3,6641.8,36.01,6641.8,3.88,4427.87,7652.47,22690.35,4.0,26567.2,49257.55
101357,2021-08-01,Voluntário,Pedido de demissão - insatisfação com liderança,1,Alta,2,4379.22,20.01,4379.22,3895.84,2919.48,0.0,15202.18,6.0,26275.32,41477.5
101464,2021-08-01,Voluntário,Pedido de demissão - remuneração,2,Média,4,9839.72,5.03,9839.72,5495.24,6559.81,0.0,29733.11,4.0,39358.88,69091.99
101568,2021-08-01,Voluntário,Pedido de demissão - remuneração,2,Média,2,4136.07,1.02,4136.07,468.02,2757.38,0.0,9996.87,4.0,16544.28,26541.15
100054,2021-09-01,Involuntário,Dispensa por justa causa,11,Alta,3,7479.02,126.97,7479.02,5792.99,5609.26,30387.82,56028.59,6.0,44874.12,100902.71
100153,2021-09-01,Involuntário,Dispensa sem justa causa - reestruturação,5,Baixa,7,28291.1,104.99,28291.1,28270.45,21218.32,95052.15,200677.21,2.5,70727.75,271404.96
100187,2021-09-01,Involuntário,Dispensa sem justa causa - fim de projeto,9,Alta,1,4405.51,24.01,4405.51,7.08,3304.13,3385.47,13864.77,6.0,26433.06,40297.83
100276,2021-09-01,Voluntário,Pedido de demissão - insatisfação com liderança,4,Média,5,10297.46,30.06,10297.46,6932.63,7723.09,0.0,33886.43,4.0,41189.84,75076.27
100352,2021-09-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,10,Alta,3,8346.56,9.0,8346.56,8347.78,6259.92,0.0,31171.88,6.0,50079.36,81251.24
100381,2021-09-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,4,Média,1,2375.43,7.98,2375.43,2106.98,1781.57,0.0,8506.49,4.0,9501.72,18008.21
100382,2021-09-01,Voluntário,Pedido de demissão - falta de perspectiva de carreira,1,Alta,3,7636.61,11.99,7636.61,10174.34,5727.46,0.0,31965.16,6.0,45819.66,77784.82
100404,2021-09-01,Voluntário,Pedido de demissão - motivos pessoais,4,Média,4,8324.3,9.99,8324.3,9237.07,6243.22,0.0,32326.64,4.0,33297.2,65623.84
100638,2021-09-01,Voluntário,Pedido de demissão - proposta externa,7,Alta,4,14587.73,37.02,14587.73,1659.2,10940.8,0.0,36920.93,6.0,87526.38,124447.31
